latitude,longitude,id,name,opening_hours,outdoor_seating,smoking,wheelchair,wheelchair_toilets,url,city,housenumber,postcode,street,website
53.2197916,6.5669655,node/3936126876,Bommen Berend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2181564,6.5627756,node/3936126882,Simon Lévelt,Mo-Fr 08:30-18:00; Sa 09:30-17:30; Su 12:00-17:00,yes,NA,yes,yes,NA,NA,NA,NA,NA,NA
53.2189634,6.5621163,node/3936126883,PS,"Mo-We,Fr,Sa 09:00-18:00; Th 09:00-21:00; Su 11:00-18:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2188181,6.5627383,node/3936126885,Starbucks,Mo-Th 09:00-20:00; Fr-Su 10:00-19:00,no,NA,yes,NA,NA,NA,NA,NA,NA,NA
53.2224999,6.5579672,node/4026601381,Moyee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2188478,6.5572209,node/4075311373,Havenzicht,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2181048,6.5634466,node/4118387661,Bagels & Beans,Mo-Fr 09:30-17:30; Sa 09:30-17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2193699,6.5628348,node/4118387682,A-Café,Mo-Th 08:30-17:00; Fr 08:30-15:00,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA
53.2166808,6.5641003,node/4155868265,Pronk,NA,yes,NA,limited,NA,NA,NA,NA,NA,NA,NA
53.2194396,6.5617551,node/4217402200,Black & Bloom,"Mo-Fr 08:30-18:30, Sa 09:00-18:00, Su 11:00-17:00",NA,NA,NA,NA,http://blackandbloom.nl/,NA,NA,NA,NA,NA
53.2183955,6.5642955,node/4232108589,Palazzo Coffee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2186426,6.5623891,node/4233983995,De Soepwinkel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2176278,6.5635537,node/4234030389,Croissanterie Pigalle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2190314,6.5623021,node/4234108989,N•25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2191111,6.5622365,node/4234109189,Bij Britta,Tu-Sa 10:00-17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2191679,6.5622041,node/4234109289,Feel Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2200257,6.5613164,node/4234138191,Tucano Coffee,Mo-Sa 10:00-20:00; Su 11:00-21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2202028,6.561134,node/4234138192,Lust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2202101,6.5614511,node/4234142592,++,"Mo-Fr 10:00-21:00, Sa,Su 12:00-20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2131172,6.5658032,node/4246170994,Bartista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2171152,6.5688397,node/4246253387,van diepen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2171718,6.5687846,node/4246253388,casa de la musica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2165942,6.569171,node/4246253754,t Gronings broodjeshuis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2167418,6.56907,node/4246345419,pappa joe's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2169754,6.5678954,node/4246707296,Boven Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2170968,6.5678098,node/4246707494,Croissanterie Du Nord,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2175755,6.5680329,node/4246737800,de Doos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2150906,6.5677794,node/4246751697,wadapartja,Mo 11:00-18:00; Tu-We 09:00-18:00; Th-Fr 09:00-22:00; Sa 10:00-22:00; Su 12:00-20:00,NA,NA,limited,no,NA,Groningen,39-41,9711HB,Gedempte Zuiderdiep,https://wadapartja.nl/
53.214682,6.5661864,node/4246757403,De Luna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2171147,6.5684438,node/4246778190,De Betere Tijden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2147068,6.5635982,node/4246796791,Lokanta Günes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2146265,6.5658683,node/4246812592,Eetcafé d'Oude Brandweer,Su-We 17:00-00:00; Th-Sa 12:00-00:00,NA,NA,NA,NA,NA,Groningen,75,9711HC,Gedempte Zuiderdiep,http://ouwebrandweer.nl
53.227239,6.5618669,node/4311557595,B&E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
